"total","car","public_trans","bus","subway","railroad","ferry","bike","walk","taxi","work_at_home"
1782,1685,0,0,0,0,0,18,12,0,67
1591,1395,0,0,0,0,0,26,22,34,114
800,703,0,0,0,0,0,0,0,15,82
1655,1463,12,12,0,0,0,24,48,11,97
3025,2916,0,0,0,0,0,3,0,16,90
2612,2362,0,0,0,0,0,52,38,25,135
2569,2206,0,0,0,0,0,12,25,78,248
915,749,8,0,0,0,8,0,21,0,137
732,650,0,0,0,0,0,0,21,8,53
2054,1730,0,0,0,0,0,0,76,29,219
1168,822,0,0,0,0,0,11,150,67,118
1143,964,8,0,0,0,8,33,16,11,111
1217,1105,0,0,0,0,0,0,0,0,112
416,313,0,0,0,0,0,0,10,6,87
415,328,0,0,0,0,0,0,25,0,62
611,505,0,0,0,0,0,0,19,10,77
1156,784,0,0,0,0,0,0,51,1,320
956,820,0,0,0,0,0,0,26,55,55
1647,1488,14,14,0,0,0,0,48,0,97
1230,1176,3,3,0,0,0,0,22,10,19
2126,2036,0,0,0,0,0,42,17,7,24
1000,916,0,0,0,0,0,23,32,11,18
2300,2228,0,0,0,0,0,37,0,16,19
2109,1947,8,8,0,0,0,19,45,44,46
1656,1506,0,0,0,0,0,17,5,71,57
1201,907,4,4,0,0,0,0,237,0,53
1371,1228,13,13,0,0,0,11,86,15,18
769,620,0,0,0,0,0,0,88,24,37
1434,1219,27,27,0,0,0,0,72,75,41
1944,1704,28,16,0,0,0,13,63,7,129
1032,647,0,0,0,0,0,3,64,10,308
2166,1857,0,0,0,0,0,12,133,15,149
1859,1519,13,13,0,0,0,0,37,20,270
2318,2058,5,5,0,0,0,11,0,0,244
1019,898,15,15,0,0,0,23,26,20,37
1559,1372,12,12,0,0,0,0,40,15,120
2145,1941,13,13,0,0,0,0,34,17,140
1512,1168,0,0,0,0,0,12,232,0,100
704,585,0,0,0,0,0,0,27,3,89
863,762,0,0,0,0,0,0,0,11,90
1539,1223,0,0,0,0,0,0,53,41,222
923,848,0,0,0,0,0,0,0,29,46
983,827,0,0,0,0,0,7,96,0,53
752,699,0,0,0,0,0,0,0,0,53
604,560,19,19,0,0,0,0,4,0,21
1726,1520,22,22,0,0,0,0,0,0,184
2287,1993,18,18,0,0,0,9,3,17,247
982,862,23,23,0,0,0,0,37,0,60
785,709,0,0,0,0,0,26,10,0,40
1941,1618,47,47,0,0,0,0,39,52,185
2290,1969,61,61,0,0,0,16,43,47,154
1293,1146,26,26,0,0,0,7,20,28,66
1439,1198,1,1,0,0,0,13,140,0,87
1476,1267,5,5,0,0,0,0,119,0,85
1077,977,12,12,0,0,0,0,56,0,32
1780,1458,0,0,0,0,0,26,69,17,210
794,707,0,0,0,0,0,14,16,0,57
1346,1008,31,31,0,0,0,0,108,18,181
1995,1777,6,6,0,0,0,0,4,18,190
2531,2207,0,0,0,0,0,0,65,32,227
2583,2192,79,79,0,0,0,31,40,0,241
1844,1719,31,31,0,0,0,0,14,8,72
1701,1523,43,43,0,0,0,8,0,18,109
3204,2880,38,38,0,0,0,106,53,35,92
1343,1202,15,15,0,0,0,11,35,0,80
1817,1708,83,83,0,0,0,0,0,0,26
1450,1348,8,8,0,0,0,11,63,0,20
2310,2052,130,130,0,0,0,13,63,12,40
1030,930,26,26,0,0,0,5,37,0,32
2963,2432,171,171,0,0,0,82,183,11,84
1573,1293,54,54,0,0,0,71,46,17,92
2197,1985,10,10,0,0,0,49,0,28,125
1382,1136,26,26,0,0,0,38,95,0,87
2109,1927,49,49,0,0,0,0,47,8,78
1976,1808,36,36,0,0,0,55,0,22,55
2095,1946,32,32,0,0,0,35,0,7,75
1819,1626,76,76,0,0,0,9,0,12,96
2188,1928,14,14,0,0,0,43,35,38,130
3463,2912,75,75,0,0,0,73,91,37,275
1292,1119,32,32,0,0,0,81,0,0,60
2843,2532,60,60,0,0,0,105,57,12,77
1665,1381,43,43,0,0,0,44,23,107,67
1810,1501,71,71,0,0,0,74,64,10,90
1835,1534,23,23,0,0,0,133,54,21,70
1213,1161,0,0,0,0,0,0,0,0,52
1699,1460,48,48,0,0,0,65,29,0,97
1937,1754,28,28,0,0,0,67,18,0,70
2345,1919,14,14,0,0,0,135,92,22,163
2568,1774,305,305,0,0,0,236,44,37,172
1241,1053,36,36,0,0,0,33,58,8,53
1751,1480,124,116,0,8,0,66,14,0,67
1531,1286,126,126,0,0,0,32,8,25,54
1294,984,150,150,0,0,0,74,22,14,50
2456,2053,104,104,0,0,0,117,87,8,87
1861,1686,38,38,0,0,0,8,21,9,99
1372,1014,23,23,0,0,0,105,59,12,159
1175,356,49,49,0,0,0,183,434,0,153
2519,785,147,147,0,0,0,423,1080,0,84
1043,404,95,95,0,0,0,310,161,18,55
