"state","fips","county","csa","population","households"
"or","019170000","Douglas","None",3446,1319
"or","019180000","Douglas","None",4578,1828
"or","019190000","Douglas","None",4592,1677
"or","019200000","Douglas","None",5076,2117
"or","019210000","Douglas","None",4232,1859
"or","021960100","Gilliam","None",1915,883
"or","023960100","Grant","None",2337,996
"or","023960200","Grant","None",5022,2323
"or","025960100","Harney","None",5042,2231
"or","025960200","Harney","None",2272,882
"or","027950100","Hood River","None",3942,1302
"or","027950200","Hood River","None",6811,2653
"or","027950300","Hood River","None",5829,2472
"or","027950400","Hood River","None",5845,1717
"or","029000100","Jackson","Medford",1977,809
"or","029000201","Jackson","Medford",3272,1281
"or","029000202","Jackson","Medford",3785,1383
"or","029000203","Jackson","Medford",4311,1493
"or","029000300","Jackson","Medford",5634,2236
"or","029000403","Jackson","Medford",3928,1486
"or","029000404","Jackson","Medford",4734,1773
"or","029000405","Jackson","Medford",3947,1661
"or","029000406","Jackson","Medford",4213,1728
"or","029000501","Jackson","Medford",2788,1286
"or","029000502","Jackson","Medford",5150,2244
"or","029000601","Jackson","Medford",6937,2757
"or","029000602","Jackson","Medford",5737,2865
"or","029000700","Jackson","Medford",9314,3394
"or","029000800","Jackson","Medford",5824,2383
"or","029000900","Jackson","Medford",8535,3144
"or","029001001","Jackson","Medford",6876,2725
"or","029001002","Jackson","Medford",4301,1552
"or","029001100","Jackson","Medford",5193,2080
"or","029001200","Jackson","Medford",3860,1465
"or","029001301","Jackson","Medford",5176,1549
"or","029001302","Jackson","Medford",9722,3141
"or","029001400","Jackson","Medford",9862,3443
"or","029001500","Jackson","Medford",4765,2260
"or","029001601","Jackson","Medford",3626,1705
"or","029001602","Jackson","Medford",6635,2727
"or","029001700","Jackson","Medford",7422,3356
"or","029001800","Jackson","Medford",7940,3736
"or","029001900","Jackson","Medford",3015,1010
"or","029002000","Jackson","Medford",2129,1071
"or","029002100","Jackson","Medford",3407,1621
"or","029002200","Jackson","Medford",4583,2112
"or","029002300","Jackson","Medford",1673,695
"or","029002400","Jackson","Medford",2132,893
"or","029002500","Jackson","Medford",2711,1093
"or","029002600","Jackson","Medford",2604,1061
"or","029002700","Jackson","Medford",6242,2856
"or","029002800","Jackson","Medford",4606,1802
"or","029002900","Jackson","Medford",7248,3270
"or","029003001","Jackson","Medford",3943,1790
"or","029003002","Jackson","Medford",5360,2204
"or","031940000","Jefferson","None",3250,833
"or","031960100","Jefferson","None",2187,625
"or","031960201","Jefferson","None",3669,1355
"or","031960202","Jefferson","None",4872,1954
"or","031960301","Jefferson","None",2943,1416
"or","031960302","Jefferson","None",4540,1699
"or","033360100","Josephine","Medford",2551,897
"or","033360300","Josephine","Medford",5734,2276
"or","033360400","Josephine","Medford",4012,1591
"or","033360500","Josephine","Medford",5778,2392
"or","033360600","Josephine","Medford",7031,2751
"or","033360701","Josephine","Medford",4692,1741
"or","033360702","Josephine","Medford",5308,2704
"or","033360800","Josephine","Medford",5082,2176
"or","033360900","Josephine","Medford",2423,1051
"or","033361000","Josephine","Medford",4316,1908
"or","033361100","Josephine","Medford",9105,3711
"or","033361200","Josephine","Medford",7152,2825
"or","033361300","Josephine","Medford",7132,2979
"or","033361400","Josephine","Medford",2692,1137
"or","033361500","Josephine","Medford",2186,988
"or","033361600","Josephine","Medford",7589,3263
"or","035970100","Klamath","None",3307,1450
"or","035970200","Klamath","None",4123,1934
"or","035970300","Klamath","None",3196,1356
"or","035970400","Klamath","None",1510,561
"or","035970500","Klamath","None",1495,660
"or","035970600","Klamath","None",1467,484
"or","035970700","Klamath","None",2293,821
"or","035970800","Klamath","None",2546,1002
"or","035970900","Klamath","None",4053,1789
"or","035971000","Klamath","None",2586,1006
"or","035971100","Klamath","None",5134,2068
"or","035971200","Klamath","None",2515,1048
"or","035971300","Klamath","None",5944,2369
"or","035971400","Klamath","None",5202,2024
"or","035971500","Klamath","None",4225,1751
"or","035971600","Klamath","None",3222,1410
"or","035971700","Klamath","None",2983,1370
"or","035971800","Klamath","None",2338,1071
"or","035971900","Klamath","None",3317,1445
"or","035972000","Klamath","None",4755,1759
"or","037960100","Lake","None",2509,1253
"or","037960200","Lake","None",5353,2313
"or","039000100","Lane","None",4816,2131
"or","039000200","Lane","None",5372,2006
"or","039000300","Lane","None",2240,893
"or","039000402","Lane","None",3536,1435
"or","039000403","Lane","None",5090,1880
"or","039000404","Lane","None",3490,1328
"or","039000500","Lane","None",1937,853
"or","039000702","Lane","None",2736,1148
"or","039000705","Lane","None",3548,1899
"or","039000706","Lane","None",2672,1231
"or","039000707","Lane","None",4033,2120
"or","039000708","Lane","None",2155,1007
"or","039000800","Lane","None",1426,666
"or","039000902","Lane","None",4405,1816
"or","039000903","Lane","None",5192,1897
"or","039000904","Lane","None",2622,1057
"or","039001001","Lane","None",2153,946
"or","039001002","Lane","None",4292,1678
"or","039001101","Lane","None",5610,2121
"or","039001102","Lane","None",3569,1380
"or","039001201","Lane","None",3832,1642
"or","039001202","Lane","None",3852,1624
"or","039001301","Lane","None",3230,1364
"or","039001302","Lane","None",5016,1921
"or","039001400","Lane","None",2234,967
"or","039001500","Lane","None",4378,1975
"or","039001600","Lane","None",5010,1855
"or","039001700","Lane","None",5430,2238
"or","039001801","Lane","None",5659,1897
"or","039001803","Lane","None",4222,1572
"or","039001804","Lane","None",3742,1328
"or","039001902","Lane","None",7279,2593
"or","039001903","Lane","None",2683,1023
"or","039001904","Lane","None",4765,2040
"or","039002001","Lane","None",3646,1368
"or","039002002","Lane","None",4702,1976
"or","039002101","Lane","None",2875,1081
"or","039002102","Lane","None",6801,2835
"or","039002201","Lane","None",3509,1598
"or","039002202","Lane","None",5831,2487
"or","039002301","Lane","None",3831,1552
"or","039002302","Lane","None",4805,1651
"or","039002401","Lane","None",4104,1530
"or","039002403","Lane","None",4325,1682
"or","039002404","Lane","None",4417,1680
"or","039002501","Lane","None",5057,1755
"or","039002503","Lane","None",7736,2891
"or","039002504","Lane","None",2913,1027
"or","039002600","Lane","None",6206,2403
"or","039002700","Lane","None",3789,1517
"or","039002800","Lane","None",4231,1728
"or","039002902","Lane","None",4028,1760
"or","039002903","Lane","None",2718,1103
"or","039002904","Lane","None",3382,1867
"or","039003000","Lane","None",4140,1959
"or","039003101","Lane","None",5794,2515
"or","039003102","Lane","None",7299,3013
"or","039003201","Lane","None",2917,1229
"or","039003202","Lane","None",3744,1684
"or","039003301","Lane","None",3587,1342
"or","039003302","Lane","None",3131,1456
"or","039003400","Lane","None",4868,1883
"or","039003500","Lane","None",4206,1626
"or","039003600","Lane","None",3401,1584
"or","039003700","Lane","None",4546,461
"or","039003800","Lane","None",6623,2763
"or","039003900","Lane","None",2692,1537
"or","039004000","Lane","None",2623,1338
"or","039004100","Lane","None",3972,1588
"or","039004200","Lane","None",3756,1672
"or","039004300","Lane","None",7313,2795
"or","039004401","Lane","None",5449,2432
"or","039004403","Lane","None",4303,2167
"or","039004404","Lane","None",3086,1319
"or","039004405","Lane","None",4883,1884
"or","039004501","Lane","None",2736,1414
"or","039004502","Lane","None",3296,1743
"or","039004600","Lane","None",2551,1210
"or","039004700","Lane","None",3765,1661
"or","039004800","Lane","None",5113,2138
"or","039004900","Lane","None",4161,1587
"or","039005000","Lane","None",5112,2252
"or","039005100","Lane","None",3562,1473
"or","039005200","Lane","None",1896,919
"or","039005300","Lane","None",2479,1029
"or","039005400","Lane","None",5246,2217
"or","041950100","Lincoln","None",3311,1407
"or","041950303","Lincoln","None",1402,608
"or","041950304","Lincoln","None",2939,1455
"or","041950400","Lincoln","None",4436,1986
"or","041950601","Lincoln","None",2480,1325
"or","041950602","Lincoln","None",2502,1177
"or","041950800","Lincoln","None",3639,1721
"or","041950900","Lincoln","None",3381,1344
"or","041951000","Lincoln","None",1996,931
"or","041951100","Lincoln","None",1659,843
"or","041951200","Lincoln","None",1744,892
