FJM[ NTN[
JRCH/ -0.243 0.11
FRV/ -0.243 -0.062
TP/ -0.24 0.53
MKR/ -0.24 0.53
MDJNH/ -0.24 0.053
MKCWL/ -0.24 0.379
XV>[ -0.239 -0.469
<NJN/ -0.239 -0.469
YDWQ/ -0.238 0.013
>BJTR/ -0.238 0.013
<BT/ -0.238 -0.414
MNXH/ -0.237 0.396
ZH -0.236 -0.115
HWN/ -0.235 0.745
>STR/ -0.234 -0.603
HMN=/ -0.234 -0.603
MLK=/ -0.234 -0.137
DGN/ -0.233 0.48
>PRJM/ -0.233 -0.459
>XR=/ -0.232 0.179
CWCN=/ -0.232 0.223
SPR=/ -0.231 0.101
N<R/ -0.231 0.539
CB>/ -0.228 -0.559
Q<Q</ -0.227 0.144
KTBT/ -0.227 0.144
CRCRH/ -0.225 0.348
BTR/ -0.225 0.29
MSPW>/ -0.225 0.76
CQR/ -0.224 -0.401
HJ> -0.222 -0.039
JPNH/ -0.221 -0.246
<ZR>/ -0.221 -0.074
>RTXCST>/ -0.221 -0.074
SPR[ -0.221 -0.074
>L/ -0.221 0.071
YMJD/ -0.221 0.811
JD/ -0.219 -0.263
GCM/ -0.218 0.509
DWD==/ -0.218 -0.435
MGNH/ -0.216 0.243
<J=/ -0.214 -1.033
MCSH/ -0.213 -0.498
T>WH/ -0.213 0.217
BNJHW/ -0.211 -0.823
CRC/ -0.209 0.311
<KSH/ -0.209 -0.19
F<JR/ -0.207 0.302
Z<WH/ -0.207 -1.092
LBN=/ -0.206 -0.282
KLB=/ -0.205 0.276
SDJN/ -0.205 0.369
PXD/ -0.202 0.372
NTX/ -0.202 0.424
DWD>JM/ -0.201 0.115
NWN/ -0.2 0.845
KLMWT/ -0.195 -0.01
<NP/ -0.194 0.749
XYJR/ -0.194 0.749
JD<[ -0.193 -0.836
GBWRH/ -0.191 -1.458
MQNH/ -0.191 0.09
inrg -0.19 0.649
KH -0.19 0.238
MMCLH/ -0.188 0.452
>Z -0.184 0.527
pl -0.183 -0.182
<RMH=/ -0.183 0.545
M<LL/ -0.183 0.983
JHWNTN/ -0.181 -0.306
HDR/ -0.179 0.65
KPR/ -0.178 0.206
VPXH/ -0.177 0.025
JTR/ -0.177 -0.221
>BQ/ -0.176 -0.094
XZH/ -0.176 -1.646
MSPR/ -0.176 -0.445
CNH/ -0.175 -0.207
BNH[ -0.175 -0.09
MNH/ -0.174 0.248
ZWB[ -0.174 -0.753
ZMN/ -0.173 0.107
PDJWN/ -0.173 0.556
BCN/ -0.172 -0.162
PLJL/ -0.171 0.616
XRPH/ -0.17 0.064
XPCH/ -0.169 -0.123
R<B/ -0.168 0.207
<MWD/ -0.168 0.362
XJH/ -0.167 -0.492
XMJCJT/ -0.167 0.232
DWD/ -0.167 0.534
>KLH/ -0.167 -0.362
HJKL/ -0.166 0.275
JWRH/ -0.166 0.12
MLQWC/ -0.166 0.12
CB</ -0.165 0.187
>DMH/ -0.165 0.006
KHNH/ -0.162 0.36
BRKH/ -0.161 0.1
KSP/ -0.16 0.393
R>C=/ -0.159 0.138
BRWT/ -0.159 0.138
NDN=/ -0.158 -0.228
>T= -0.158 -0.228
TPLH=/ -0.156 -0.102
MPQD/ -0.156 0.842
B<D/ -0.155 0.769
GDLJHW/ -0.155 0.149
>XJQM/ -0.155 0.149
>RWNH/ -0.155 0.323
R>WBNJ/ -0.154 0.14
GDJ=/ -0.154 0.14
M<RH/ -0.153 0.027
XRC/ -0.152 -0.61
NXLH/ -0.151 -0.092
GL==/ -0.151 0.355
YPJ</ -0.151 0.355
GDWD/ -0.15 0.256
TBW>H/ -0.15 0.414
HRJWN/ -0.148 0.155
>NJ -0.146 -0.002
<RK/ -0.145 0.216
MVH==/ -0.143 0.306
MYWH/ -0.143 0.003
CMM[ -0.143 1.643
<RJSH/ -0.142 0.179
<FW/ -0.141 0.425
JHWH/ -0.139 -0.218
F<JR====/ -0.139 -0.619
MNQJT/ -0.137 0.215
QFWH/ -0.137 0.215
Q<RH/ -0.137 0.215
NSK/ -0.137 0.215
TBN/ -0.136 0.098
>T== -0.134 -0.194
adjv -0.134 0.06
MN/ -0.133 0.388
<MR/ -0.133 0.388
Z<QH/ -0.132 0.416
JHY/ -0.132 0.416
>L<L>/ -0.132 0.416
W -0.13 0.106
KX/ -0.129 0.322
MN -0.128 0.012
BKRH/ -0.128 0.051
BVX/ -0.128 0.326
>MH/ -0.126 0.033
CBV/ -0.125 -0.005
MWR>/ -0.123 0.057
>T -0.122 0.065
TKLT/ -0.121 0.393
NZR/ -0.121 -0.241
JBWL/ -0.119 0.224
R<B=/ -0.117 0.397
MLWKH/ -0.117 0.646
RQMH/ -0.117 0.112
R>MWT/ -0.117 0.112
NPK/ -0.117 0.112
BWY/ -0.117 0.112
>RGMN/ -0.117 0.112
HGR/ -0.116 0.371
>HBH/ -0.115 -0.269
BLQ/ -0.115 -0.643
JC</ -0.115 0.21
JGJ</ -0.114 -0.765
XSN=/ -0.114 -0.765
HN -0.114 -0.141
MW<D/ -0.113 0.203
FKR/ -0.113 0.435
L -0.113 0.255
BGD/ -0.113 -0.065
