lexid	lexeme	vocalized	p_o_s	gloss	freq
na	<FRH/	עֶשְׂרֵה	subs	-teen	134
nc	GL<D/	גִּלְעָד	nmpr	Gilead	134
nb	<RB/	עֶרֶב	subs	evening	134
nd	MSPR/	מִסְפָּר	subs	number	134
nj	PR/	פַּר	subs	young bull	133
nl	XWMH/	חֹומָה	subs	wall	133
ni	PN	פֶּן	conj	lest	133
nh	C>R[	שָׁאַר	verb	remain	133
nk	QBR[	קָבַר	verb	bury	133
nm	CKN[	שָׁכַן	verb	dwell	131
nn	NFJ>/	נָשִׂיא	subs	chief	130
nq	XQ/	חֹק	subs	portion	129
no	JRMJHW/	יִרְמְיָהוּ	nmpr	Jeremiah	129
np	QDM/	קֶדֶם	subs	front	129
ns	QBY[	קָבַץ	verb	collect	127
nt	XMH/	חֵמָה	subs	heat	127
nr	>MT/	אֶמֶת	subs	trustworthiness	127
nx	XCB[	חָשַׁב	verb	account	125
nu	CLK[	שָׁלַךְ	verb	throw	125
nv	KX/	כֹּחַ	subs	strength	125
nw	NGC[	נָגַשׁ	verb	approach	125
ny	XYJ/	חֲצִי	subs	half	124
nz	<YM/	עֶצֶם	subs	bone	123
oa	QHL/	קָהָל	subs	assembly	123
ob	BKR/	בְּכֹר	subs	first-born	122
oc	CKX[	שָׁכַח	verb	forget	122
od	LKD[	לָכַד	verb	seize	121
of	>NXNW	אֲנַחְנוּ	prps	we	120
oe	<FRH=/	עֲשָׂרָה	subs	ten	120
og	CLM[	שָׁלֵם	verb	be complete	119
ok	YDQ/	צֶדֶק	subs	justice	119
oi	PRJ/	פְּרִי	subs	fruit	119
oh	JCR/	יָשָׁר	adjv	right	119
oj	RKB/	רֶכֶב	subs	chariot	119
om	JVB[	יָטַב	verb	be good	118
ol	BVX[	בָּטַח	verb	trust	118
on	P<M/	פַּעַם	subs	foot	118
op	GDL[	גָּדַל	verb	be strong	117
oo	FRP[	שָׂרַף	verb	burn	117
oq	LCWN/	לָשֹׁון	subs	tongue	117
or	TW<BH/	תֹּועֵבָה	subs	abomination	117
os	NB>[	נָבָא	verb	speak as prophet	116
ot	QDWC/	קָדֹושׁ	adjv	holy	116
ov	CPK[	שָׁפַךְ	verb	pour	115
ou	>WR/	אֹור	subs	light	115
ow	HN	הֵן	intj	behold	115
oy	QVR[	קָטַר	verb	smoke	115
ox	MCPXT/	מִשְׁפַּחַת	subs	clan	115
oz	>XWT/	אָחֹות	subs	sister	114
pb	MGRC/	מִגְרָשׁ	subs	pasture	114
pa	BKH[	בָּכָה	verb	weep	114
pc	CQR/	שֶׁקֶר	subs	lie	113
pd	JDH[	יָדָה	verb	praise	113
pe	KBD[	כָּבֵד	verb	be heavy	113
pf	BLT/	בֵּלֶת	subs	failure	112
pg	NGB/	נֶגֶב	subs	south	112
ph	<MWD/	עַמּוּד	subs	pillar	111
pj	CBT/	שַׁבָּת	subs	sabbath	111
pi	>LH/	אֵלָה	subs	big tree	111
pk	<PR/	עָפָר	subs	dust	110
pm	BWC[	בֹּושׁ	verb	be ashamed	109
po	KNP/	כָּנָף	subs	wing	109
pl	>BCLWM/	אַבְשָׁלֹום	nmpr	Absalom	109
pn	CMRWN/	שֹׁמְרֹון	nmpr	Samaria	109
pp	RQ	רַק	advb	only	109
pr	JYXQ/	יִצְחָק	nmpr	Isaac	108
pq	>MN[	אָמֵן	verb	be firm	108
ps	NXM[		verb	repent, console	108
pt	SPR[	סָפַר	verb	count	108
pu	KBF/	כֶּבֶשׂ	subs	young ram	107
pw	JTR[	יָתַר	verb	remain	106
pv	<MWN/	עַמֹּון	nmpr	Ammon	106
px	B<D/	בַּעַד	subs	distance	105
py	ML>KH/	מְלָאכָה	subs	work	105
pz	R<<[	רָעַע	verb	be evil	105
qa	<BR/	עֵבֶר	subs	opposite	104
qb	JRB<M/	יָרָבְעָם	nmpr	Jeroboam	104
qc	RWY[	רוּץ	verb	run	104
qe	XQH/	חֻקָּה	subs	regulation	104
qd	TMJD/	תָּמִיד	subs	continuity	104
qf	BMH/	בָּמָה	subs	high place	103
qh	MR>H/	מַרְאֶה	subs	sight	103
qg	G>L[	גָּאַל	verb	redeem	103
qi	KPR[	כָּפַר	verb	cover	102
qj	M<V/	מְעַט	subs	little	101
ql	RXB=/	רֹחַב	subs	breadth	101
qk	R<B/	רָעָב	subs	hunger	101
qn	J<N/	יַעַן	subs	motive	100
qp	XJH/	חַיָּה	subs	wild animal	100
qm	>DWM/	אֱדֹום	nmpr	Edom	100
qo	LBC[	לָבַשׁ	verb	cloth	100
qq	<WR=/	עֹור	subs	skin	99
qr	CBJ<J/	שְׁבִיעִי	adjv	seventh	98
qs	<FW/	עֵשָׂו	nmpr	Esau	97
qt	CRT[	שָׁרַת	verb	serve	97
qu	FB<[	שָׂבַע	verb	be sated	97
qx	XMWR/	חֲמֹור	subs	he-ass	96
qv	JXDW	יַחְדָּו	advb	together	96
qw	VHR/	טָהֹר	adjv	pure	96
qz	JTR/	יֶתֶר	subs	remainder	95
qy	>RK=/	אֹרֶךְ	subs	length	95
re	XLL/	חָלָל	adjv	pierced	94
rc	MLV[	מָלַט	verb	escape	94
ra	FMXH/	שִׂמְחָה	subs	joy	94
rb	HPK[	הָפַךְ	verb	turn	94
rd	VHR[	טָהֵר	verb	be clean	94
rk	PC</	פֶּשַׁע	subs	rebellion	93
rh	HJKL/	הֵיכָל	subs	palace	93
rg	D<T/	דַּעַת	subs	knowledge	93
ri	KN<N/	כְּנַעַן	nmpr	Canaan	93
rf	>X>B/	אַחְאָב	nmpr	Ahab	93
rj	MMLKH/	מַמְלָכָה	subs	kingdom	93
rl	ZNH[	זָנָה	verb	fornicate	93
rn	JHWDJ/	יְהוּדִי	adjv	Jewish	92
ro	KRM/	כֶּרֶם	subs	vineyard	92
