lexid	lexeme	vocalized	p_o_s	gloss	freq
iel	PFQ[		verb	open	2
iis	RTQ[	רָתַק	verb	bind	2
ipf	XNQ[		verb	strangle	2
hkb	C>H=[	שָׁאָה	verb	roar	2
hnj	DLP/	דֶּלֶף	subs	roof	2
icz	NHQ[		verb	cry	2
hzq	MPRF/	מִפְרָשׂ	subs	sail	2
hng	DKRN/	דָּכְרָן	subs	memorandum	2
hof	FBR/	שֵׂבֶר	subs	hope	2
hym	MHR_CLL_XC_BZ/	מַהֵר שָׁלָל חָשׁ בַּז	nmpr	Maher-Shalal-Hash-Baz	2
hao	<LWH=/	עַלְוָה	nmpr	Alvah	2
hdl	>CTDWR/	אֶשְׁתַּדּוּר	subs	revolt	2
inp	XBB/	חֹבָב	nmpr	Hobab	2
hmh	CWBK/	שֹׁובַךְ	nmpr	Shobach	2
hse	JKLJHW/	יְכָלְיָהוּ	nmpr	Jecoliah	2
hek	>LJCW</	אֱלִישׁוּעַ	nmpr	Elishua	2
ibb	MWRC/	מֹורָשׁ	subs	possession	2
gzw	<GJL/	עָגִיל	subs	adornment	2
hqq	GZBR/	גִּזְבָּר	subs	treasurer	2
hkc	CBJ==/	שֹׁבָי	nmpr	Shobai	2
idb	NJB/	נִיב	subs	fruit	2
hyl	MHLMWT/	מַהֲלֻמֹות	subs	strokes	2
hif	BJT_PLV/	בֵּית פֶּלֶט	nmpr	Beth Pelet	2
hev	>LWC/	אָלוּשׁ	nmpr	Alush	2
hln	CMY/	שֵׁמֶץ	subs	<uncertain>	2
hta	JRXM>LJ/	יְרַחְמְאֵלִי	adjv	Jerahmeelite	2
ipw	XRV/	חֶרֶט	subs	stylus	2
iij	RKS[	רָכַס	verb	bind	2
hhl	B<WT/	בִּעוּת	subs	terror	2
icd	MZLG=/	מַזְלֵג	subs	fork	2
hhk	B<W/	בָּעוּ	subs	request	2
hhf	B<LWT/	בְּעָלֹות	nmpr	Bealoth	2
irw	YMJM/	צַמִּים	subs	<uncertain>	2
ihv	R<M=[		verb	be disconcerted	2
gzz	<GWR/	עָגוּר	subs	bulbul-bird	2
ibg	MWYQ/	מוּצָק	subs	casting	2
hvc	KWCJ/	כּוּשִׁי	nmpr	Cushi	2
ihu	R<D/	רַעַד	subs	trembling	2
iqw	XYY/	חָצָץ	subs	pebble	2
iqv	XYRWNJ/	חֶצְרֹונִי	adjv	Hezronite	2
hjo	BYQT/	בָּצְקַת	nmpr	Bozkath	2
ipq	XRK[	חָרַךְ	verb	start?	2
ilt	TMNT_SRX/	תִּמְנַת סֶרַח	nmpr	Timnath Serah	2
hlg	CM<T/	שִׁמְעָת	nmpr	Shimeath	2
hee	>JKBWD/	אִיכָבֹוד	nmpr	Ichabod	2
hor	FRQ=/	שָׂרֹק	adjv	bright red	2
idn	NPTXJM/	נַפְתֻּחִים	nmpr	Naphtuhites	2
iqo	XWH=/	חַוָּה	nmpr	Eve	2
hww	MBXWR/	מִבְחֹור	subs	choice	2
ifq	PTRSJM/	פַּתְרֻסִים	nmpr	Pathrusites	2
icm	NBZBH/	נְבִזְבָּה	subs	present	2
ifr	PTWR/	פְּתֹור	nmpr	Pethor	2
hnd	DJG/	דַּיָּג	subs	fisher	2
hfb	>MNH==/	אֲמָנָה	subs	trustworthy arrangement	2
iho	QWR/	קוּר	subs	thread	2
hmj	CWNJ=/	שׁוּנִי	nmpr	Shuni	2
ieq	PJTWN/	פִּיתֹון	nmpr	Pithon	2
ifn	PRY_<ZH/	פֶּרֶץ עֻזָּה	nmpr	Perez Uzzah	2
hug	KL_XZH/	כָּל חֹזֶה	nmpr	Col-Hozeh	2
hpf	GD/	גַּד	subs	coriander	2
ido	NQD/	נֹקֵד	subs	sheep-raiser	2
ipl	XRDH=/	חֲרָדָה	nmpr	Haradah	2
hns	DRQWN/	דַּרְקֹון	nmpr	Darkon	2
hjj	BWL/	בּוּל	subs	dry wood	2
ifa	PLVJ=/	פַּלְטִי	nmpr	Palti	2
hwx	MBYR=/	מִבְצָר	nmpr	Mibzar	2
idd	NJSN/	נִיסָן	nmpr	Nissan	2
idt	NSRK/	נִסְרֹךְ	nmpr	Nisroch	2
ink	VRJ/	טָרִי	adjv	fresh	2
ipg	XNVH/	חִנְטָה	subs	wheat	2
ihy	RB===/	רַב	subs	dart	2
hvh	KWT/	כּוּת	nmpr	Cuthah	2
ipz	XR_HGDGD/	חֹר הַגִּדְגָּד	nmpr	Hor Haggidgad	2
hyu	MKMTT/	מִכְמְתָת	nmpr	Micmethath	2
ikq	T<LH=/	תְּעָלָה	subs	healing	2
hfx	>RB/	אֹרֶב	subs	ambush	2
itf	ZXX[	זָחַח	verb	displace	2
hpa	GBLJ/	גִּבְלִי	adjv	Gebalite	2
ike	SPRT/	סֹפֶרֶת	subs	function of scribe	2
gzu	<DW>/	עִדֹּוא	nmpr	Iddo	2
igu	QML[	קָמַל	verb	be lousy	2
iiv	RWJH/	רְוָיָה	subs	saturation	2
inj	VPXH/	טַפְחָה	subs	span	2
ikp	T<<[	תָּעַע	verb	mock	2
hdm	>CTWN/	אֶשְׁתֹּון	nmpr	Eshton	2
hxv	MDWH/	מַדְוֶה	subs	sickness	2
hfh	>MY=/	אָמֹץ	adjv	piebald	2
hty	KDKD/	כַּדְכֹּד	subs	ruby	2
hvz	LQC/	לֶקֶשׁ	subs	late sowing	2
iop	XLDH/	חֻלְדָּה	nmpr	Huldah	2
imp	TRX=/	תָּרַח	nmpr	Terah	2
iii	RJR/	רִיר	subs	spittle	2
ilz	TNW>H/	תְּנוּאָה	subs	opposition	2
hpb	GBLT/	גַּבְלֻת	subs	<uncertain>	2
hws	M>KLT=/	מַאֲכֹלֶת	subs	food	2
igk	QDMH==/	קֵדְמָה	nmpr	Kedemah	2
ing	VPR/	טְפַר	subs	nail	2
iao	MSPXWT/	מִסְפָּחֹות	subs	veils	2
iea	NXC=/	נַחַשׁ	subs	spell	2
ilh	TDJR/	תְּדִיר	subs	constantly	2
hoy	GBJ/	גֹּבַי	subs	swarm	2
ioo	XL>H=/	חֶלְאָה	nmpr	Helah	2
irh	YB>H/	צְבָאָה	subs	she-gazelle	2
hrr	JCWH/	יִשְׁוָה	nmpr	Ishvah	2
hii	BKRW/	בֹּכְרוּ	nmpr	Bokeru	2
iks	T<LWLJM/	תַּעֲלוּלִים	subs	ill-treatment	2
hdz	>GRVL/	אֲגַרְטָל	subs	basket	2
ikm	SWVJ/	סֹוטַי	nmpr	Sotai	2
iky	T>M[		verb	bear twins	2
ijg	RZH/	רָזֶה	adjv	lean	2
hhs	BDD=/	בְּדַד	nmpr	Bedad	2
hnb	DHRH/	דַּהֲרָה	subs	dashing	2
htm	JWVH/	יוּטָּה	nmpr	Juttah	2
iqu	XYRWN=/	חֶצְרֹון	nmpr	Hezron	2
hkz	CLMJ==/	שַׁלְמָי	nmpr	Shalmai	2
hlv	CPWV/	שְׁפֹוט	subs	judgment	2
ikr	T<LMH/	תַּעֲלֻמָה	subs	secret	2
hnp	DR</	דְּרָע	subs	arm	2
har	<MRMJ/	עַמְרָמִי	adjv	Amramite	2
had	<JNJM/	עֵינַיִם	nmpr	Enaim	2
idw	NVPH=/	נְטֹפָה	nmpr	Netophah	2
ill	TKJJM/	תֻּכִּיִּים	subs	poultry	2
hez	>MJR/	אָמִיר	subs	branch	2
ils	TMHWN/	תִּמָּהֹון	subs	bewilderment	2
hrv	JGB[		verb	labour	2
htu	KBJR=/	כָּבִיר	subs	quilt	2
hkr	CKNJHW/	שְׁכַנְיָהוּ	nmpr	Shecaniah	2
iry	YMRJM/	צְמָרַיִם	nmpr	<mountain>	2
irx	YMRJ/	צְמָרִי	adjv	Zemarite	2
iqq	XWRN/	חַוְרָן	nmpr	Hauran	2
hcr	>BJCLWM/	אֲבִישָׁלֹום	nmpr	Abishalom	2
hmi	CWLMJ/	שׁוּלַמִּי	adjv	Shulammite	2
hcw	>BJM>L/	אֲבִימָאֵל	nmpr	Abimael	2
ilw	TMX/	תָּמַח	nmpr	Temah	2
ijf	RYX/	רֶצַח	subs	killing	2
hls	CPM/	שְׁפָם	nmpr	Shepham	2
iqx	XYYN_TMR/	חַצְצֹן תָּמָר	nmpr	Hazazon Tamar	2
ikb	SMR[	סָמַר	verb	bristle	2
hks	CLB[	שָׁלַב	verb	bind	2
huq	KRR[	כָּרַר	verb	dance	2
iey	PLT/	פֶּלֶת	nmpr	Peleth	2
hqx	HJK	הֵיךְ	inrg	how	2
iau	MTRDT/	מִתְרְדָת	nmpr	Mithredath	2
iid	RGB/	רֶגֶב	subs	clod	2
inx	XCBNJH/	חֲשַׁבְנְיָה	nmpr	Hashabneiah	2
hbx	<TR=/	עֶתֶר	nmpr	Ether	2
hjb	BRQT/	בָּרֶקֶת	subs	beryl	2
hbo	<RJ=/	עֵרִי	nmpr	Eri	2
ihg	QRSL/	קַרְסֹל	subs	ankle	2
isc	YPNJHW/	צְפַנְיָהוּ	nmpr	Zephaniah	2
irn	YJR[		verb	<uncertain>	2
hrw	JGWR/	יָגֹור	adjv	fearing	2
hkd	CBJL/	שְׁבִיל	subs	path	2
hnw	DWKJPT/	דּוּכִיפַת	subs	hoopoe	2
iiz	RWXH/	רְוָחָה	subs	relief	2
hvv	LHBT/	לַהֶבֶת	subs	flame	2
iga	PXZ[		verb	be insolent	2
iba	MWCJ/	מוּשִׁי	adjv	Mushite	2
hxc	MCJ/	מֶשִׁי	subs	textile	2
imj	TQWH==/	תִּקְוָה	nmpr	Tikvah	2
hss	JRB/	יָרֵב	nmpr	the great king	2
iob	XCMNH/	חַשְׁמֹנָה	nmpr	Hashmonah	2
hen	>LJPLHW/	אֱלִיפְלֵהוּ	nmpr	Eliphelehu	2
hts	JXY>L/	יַחְצְאֵל	nmpr	Jahzeel	2
ioc	XDD/	חֲדַד	nmpr	Hadad	2
hcf	<WTJ/	עוּתַי	nmpr	Uthai	2
ica	MYRP/	מַצְרֵף	subs	melting pot	2
hfs	>PLL/	אֶפְלָל	nmpr	Ephlal	2
hol	FR<PJM/	שַׂרְעַפִּים	subs	disquieting thoughts	2
iff	PQX/	פִּקֵּחַ	adjv	clear-sighted	2
ics	NGH=/	נֹגַהּ	nmpr	Nogah	2
ifh	PRCH/	פָּרָשָׁה	subs	statement	2
huz	KST/	כֶּסֶת	subs	band	2
iez	PLV/	פֶּלֶט	nmpr	Pelet	2
irc	Y>H/	צֵאָה	subs	excrement	2
iqc	XSM[		verb	muzzle	2
hxq	MDJ=/	מָדַי	adjv	Median	2
ibz	MYHLWT/	מִצְהָלֹות	subs	neighing	2
iej	PDJWN/	פִּדְיֹון	subs	ransom	2
htw	KBR[		verb	multiply	2
isq	Z<WN/	זַעֲוָן	nmpr	Zaavan	2
hmm	CWR=[	שׁוּר	verb	descend	2
hcv	>BJHW/	אֲבִיָּהוּ	nmpr	Abijah	2
ify	PWVJPR/	פֹּוטִיפַר	nmpr	Potiphar	2
hgu	>XJ>M/	אֲחִיאָם	nmpr	Ahiam	2
isj	YRWR=/	צְרֹור	subs	pebble	2
ijo	SBTK>/	סַבְתְּכָא	nmpr	Sabteca	2
gzx	<GLH==/	עֶגְלָה	nmpr	Eglah	2
igd	QB<T/	קֻבַּעַת	subs	cup	2
hwd	LWXC/	לֹוחֵשׁ	nmpr	Hallohesh	2
hhd	>ZQJM/	אֲזִקִּים	subs	handcuffs	2
hig	BJT_RXB/	בֵּית רְחֹב	nmpr	Beth Rehob	2
ioi	XJJN/	חַיִּין	subs	life	2
hmx	DBR==/	דֹּבֶר	subs	pasture	2
ibt	MXRCH/	מַחֲרֵשָׁה	subs	ploughshare	2
hea	>HB/	אֹהַב	subs	display of love	2
hiu	BQ</	בֶּקַע	subs	half-shekel	2
hdc	>BYN/	אִבְצָן	nmpr	Ibzan	2
inr	XBL===/	חֶבֶל	subs	destruction	2
hnr	DRDR/	דַּרְדַּר	subs	thistles	2
hfd	>MRJ=/	אִמְרִי	nmpr	Imri	2
iin	RQB[	רָקֵב	verb	rot	2
imh	TQL/	תְּקֵל	subs	shekel	2
hfq	>PD[		verb	dress	2
haw	<NG=/	עֹנֶג	subs	delight	2
hfc	>MNH===/	אֲמָנָה	nmpr	Amana	2
huh	KNM/	כִּנָּם	subs	gnat	2
inz	XCC/	חֲשַׁשׁ	subs	dried grass	2
iaf	MRQXH/	מֶרְקָחָה	subs	ointment pot	2
ikf	SPXT/	סַפַּחַת	subs	scab	2
ikn	SXBWT/	סְחָבֹות	subs	rags	2
iev	PLK/	פֶּלֶךְ	subs	whirl of spindle	2
hqm	GWZ[	גּוּז	verb	pass along	2
isy	ZRMH/	זִרְמָה	subs	penis	2
hnx	DWMH/	דּוּמָה	subs	silence	2
ikw	T>CWR/	תְּאַשּׁוּר	subs	cypress	2
hbg	<QLQL/	עֲקַלְקָל	adjv	crooked	2
ico	NCJQH/	נְשִׁיקָה	subs	kiss	2
hib	BJT_BRH/	בֵּית בָּרָה	nmpr	Beth Barah	2
htz	KJLJ/	כִּילַי	subs	<uncertain>	2
hog	FJB[	שִׂיב	verb	be old	2
hnz	DXJ/	דְּחִי	subs	stumbling	2
ilq	TL_MLX/	תֵּל מֶלַח	nmpr	Tel Melah	2
hsg	JMR[		verb	<uncertain>	2
iht	R<====/	רֵעַ	subs	will	2
hgy	>Y<DH/	אֶצְעָדָה	subs	bracelet	2
hsn	JQJM/	יָקִים	nmpr	Jakim	2
haq	<MQ===/	עֹמֶק	subs	depth	2
ifk	PRSJ/	פַּרְסָי	adjv	Persian	2
hxi	MCQLT/	מִשְׁקֶלֶת	subs	leveller	2
hxk	MCW>WT/	מַשּׁוּאֹות	subs	deceptions	2
ije	RYP=/	רֶצֶף	nmpr	Rezeph	2
hde	>CBN/	אֶשְׁבָּן	nmpr	Eshban	2
isa	YNJNJM/	צְנִינִים	subs	pricks	2
hgm	>VR/	אִטֵּר	adjv	left-handed	2
ikv	T>B[	תָּאֵב	verb	long for	2
ieu	PL>JH/	פְּלָאיָה	nmpr	Pelaiah	2
hhq	BCL/	בָּשֵׁל	adjv	cooked	2
iiq	RSH/	רִסָּה	nmpr	Rissah	2
iha	QR>/	קֹרֵא	subs	partridge	2
htd	JTR<M/	יִתְרְעָם	nmpr	Ithream	2
hoz	GBJR/	גְּבִיר	subs	lord	2
ihr	QWYWT/	קְוֻצֹּות	subs	hairlocks	2
ibk	MXJD>/	מְחִידָא	nmpr	Mehida	2
icu	NHH[	נָהָה	verb	lament	2
hap	<MM[	עָמַם	verb	ally	2
hvd	KWH[	כָּוָה	verb	burn	2
hfl	>NJH=/	אֲנִיָּה	subs	mourning	2
hnt	DRWR==/	דְּרֹור	subs	swallow	2
iqd	XSR=/	חֶסֶר	subs	lack	2
irj	YBJH=/	צִבְיָה	nmpr	Zibiah	2
iax	MVRD/	מַטְרֵד	nmpr	Matred	2
hdx	>DWRM/	אֲדֹורָם	nmpr	Adoniram	2
hfn	>NP/	אֲנַף	subs	face	2
ice	MZRH/	מִזְרֶה	subs	pitch-fork	2
hda	>BQ[		verb	wrestle	2
hwo	M<WN==/	מָעֹון	nmpr	Maon	2
hli	CMGR/	שַׁמְגַּר	nmpr	Shamgar	2
ilo	TL>FR/	תְּלַאשָּׂר	nmpr	Telassar	2
idu	NTR/	נֶתֶר	subs	natron	2
ibm	MXLJ/	מַחְלִי	adjv	Mahlite	2
hne	DJH/	דַּיָּה	subs	<uncertain>	2
hip	BMWT_B<L/	בָּמֹות בַּעַל	nmpr	Bamoth Baal	2
iql	XVJV>/	חֲטִיטָא	nmpr	Hatita	2
hvg	KWN/	כַּוָּן	subs	cake	2
ipp	XRJY/	חָרִיץ	subs	axe	2
icc	MYWQ=/	מָצוּק	subs	support	2
hyj	MGL/	מַגָּל	subs	sickle	2
htl	JWRH/	יֹורֶה	subs	early rain	2
hot	FWK[	שׂוּךְ	verb	fence	2
hgt	>XJ=/	אֲחִי	nmpr	Ahi	2
imu	TWL<H/	תֹּולֵעָה	subs	maggot	2
hhh	B<L_XRMWN/	בַּעַל חֶרְמֹון	nmpr	Baal Hermon	2
iqj	XVJL/	חַטִּיל	nmpr	Hattil	2
imf	TPSX/	תִּפְסַח	nmpr	Tiphsah	2
hup	KRN/	כְּרָן	nmpr	Keran	2
ids	NSJK=/	נָסִיךְ	subs	libation	2
hdh	>CNB/	אֶשְׁנָב	subs	window	2
hkt	CLHBT/	שַׁלְהֶבֶת	subs	flame	2
hdf	>CKL/	אֶשְׁכֹּל	nmpr	Eshcol	2
hha	>YLJHW/	אֲצַלְיָהוּ	nmpr	Azaliah	2
hbh	<QRWNJ/	עֶקְרֹונִי	adjv	from Ekron	2
hkv	CLK/	שָׁלָךְ	subs	cormorant	2
hui	KNNJHW=/	כְּנַנְיָהוּ	nmpr	Chenaniah	2
hom	FRG[		verb	intertwine	2
hzm	MNJT/	מִנִּית	nmpr	Minnith	2
hmd	CW</	שֹׁועַ	subs	noble	2
hnk	DLP[		verb	be sleepless	2
hmf	CW<====/	שֹׁועַ	nmpr	Shoa	2
ili	TDMR/	תַּדְמֹר	nmpr	Tadmor	2
ici	N>Q[	נָאַק	verb	groan	2
hkj	CCQ/	שָׁשָׁק	nmpr	Shashak	2
ioq	XLDJ/	חֶלְדַּי	nmpr	Heldai	2
hhe	>ZR</	אֶזְרֹעַ	subs	arm	2
hpi	GDJ===/	גָּדִי	nmpr	Gadi	2
hjm	BXWRWT/	בְּחוּרֹות	subs	youth	2
heb	>HB=/	אַהַב	subs	love	2
hlu	CPTJM/	שְׁפַתַּיִם	subs	packsaddles	2
hjz	C<RWRJ/	שַׁעֲרוּרִי	adjv	horrible	2
hlk	CMRJM/	שִׁמֻּרִים	subs	vigil	2
hnn	DPQH/	דָּפְקָה	nmpr	Dophkah	2
hrj	J>ZNJH/	יַאֲזַנְיָה	nmpr	Jaazaniah	2
ilm	TKN/	תֹּכֶן	subs	quantity	2
hlq	CPK/	שֶׁפֶךְ	subs	rubbish-heap	2
ifl	PRT=/	פֹּרָת	subs	tamarisk?	2
isv	ZJZ>/	זִיזָא	nmpr	Ziza	2
ika	SMM[	סָמַם	verb	apply paste	2
iiu	RW/	רֵו	subs	appearance	2
ibp	MXLT=/	מַחֲלַת	nmpr	Mahalath	2
imd	TPL=/	תָּפֵל	subs	something tasteless	2
ieg	NYX=/	נֵצַח	subs	blood-spout	2
hag	<JR===/	עִיר	subs	excitement	2
inh	VPSR/	טִפְסָר	subs	official	2
hsy	JRX</	יַרְחָע	nmpr	Jarha	2
hoa	DXQ[		verb	urge	2
hlf	CM<J/	שִׁמְעִי	adjv	Shimeite	2
hua	KLJWN/	כִּלָּיֹון	subs	annihilation	2
hck	<YM=[		verb	close	2
iml	TRC/	תֶּרֶשׁ	nmpr	Teresh	2
gzo	<DN==/	עֵדֶן	nmpr	Eden	2
hxz	MFMRH/	מַשְׂמֵרָה	subs	nail	2
hjd	BRWR/	בָּרוּר	adjv	pure	2
hhw	BGTN/	בִּגְתָן	nmpr	Bigthana	2
iqe	XT/	חַת	subs	terror	2
img	TPTJ/	תִּפְתָּי	subs	police officer	2
hxa	MC>LH/	מִשְׁאָלָה	subs	request	2
hrb	HRJWN/	הֵרָיֹון	subs	conception	2
imm	TRCJC==/	תַּרְשִׁישׁ	nmpr	Tarshish	2
hyf	MG/	מָג	subs	official	2
hjv	C<LBNJ/	שַׁעַלְבֹנִי	adjv	Shaalbonite	2
ile	TBR[	תָּבַר	verb	<uncertain>	2
hgw	>XLJ/	אַחְלָי	nmpr	Ahlai	2
hzj	MMZR/	מַמְזֵר	subs	bastard	2
igs	QLL/	קָלָל	adjv	burnished	2
hyb	MFRPWT/	מִשְׂרְפֹות	subs	burning	2
hmu	CXY/	שַׁחַץ	subs	greatness	2
ihx	RB<====/	רֶבַע	nmpr	Reba	2
ioj	XJL=[	חִיל	verb	endure	2
imr	TWBL_QJN/	תּוּבַל קַיִן	nmpr	Tubal-Cain	2
has	<MR[		verb	deal violently	2
hvb	KSX[	כָּסַח	verb	cut off	2
iic	RDJD/	רְדִיד	subs	wrapper	2
huo	KRKB/	כַּרְכֹּב	subs	rim	2
idm	NPTWX/	נֶפְתֹּוחַ	nmpr	Nephtoah	2
hte	JTRH/	יִתְרָה	subs	remainder	2
hnm	DNHBH/	דִּנְהָבָה	nmpr	Dinhabah	2
hzc	MLWTJ/	מַלֹּותִי	nmpr	Mallothi	2
ior	XLJ=/	חֲלִי	subs	ornament	2
hph	GDGD/	גִּדְגָּד	nmpr	Hor Haggidgad	2
hod	F<PJM/	שְׂעִפִּים	subs	disquieting thoughts	2
hxp	MD<=/	מֹדָע	subs	kinsman	2
hsf	JLPT/	יַלֶּפֶת	subs	ringworm	2
hrn	JBM/	יָבָם	subs	husband's brother	2
hxu	MDW/	מָדוּ	subs	garment	2
hdi	>CNH/	אַשְׁנָה	nmpr	Ashnah	2
hie	BJT_NMRH/	בֵּית נִמְרָה	nmpr	Beth Nimrah	2
hob	DXX[	דָּחַח	verb	thrust	2
ijy	SLW>=/	סַלּוּא	nmpr	Sallu	2
hzl	MNHG/	מִנְהָג	subs	driving	2
hon	FRH[	שָׂרָה	verb	contend	2
hmw	DBLT/	דְּבֶלֶת	subs	fig cake	2
ijp	SD/	סַד	subs	stock	2
hlh	CM>/	שַׁמָּא	nmpr	Shamma	2
icv	NHJRW/	נַהִירוּ	subs	brilliance	2
ion	XKMNJ/	חַכְמֹנִי	nmpr	Hacmoni	2
hfr	>PJM/	אַפָּיִם	nmpr	Appaim	2
hmv	D>R/	דֹּאר	nmpr	Dor	2
icn	NCH/	נָשֶׁה	subs	ischias nerve	2
hxf	MCLMWT/	מְשִׁלֵּמֹות	nmpr	Meshillemoth	2
imn	TRHQH/	תִּרְהָקָה	nmpr	Tirhakah	2
idg	NKR=/	נֵכֶר	subs	misfortune	2
hdy	>GRP/	אֶגְרֹף	subs	broom	2
hyy	MLK==/	מֶלֶךְ	nmpr	Melech	2
hlp	CPH[	שָׁפָה	verb	sweep bare	2
hgx	>XLMH/	אַחְלָמָה	subs	jaspis	2
ikj	SRX[		verb	overhang	2
hho	B>R=/	בְּאֵר	nmpr	Beer	2
ipm	XRDJ/	חֲרֹדִי	adjv	Harodite	2
hvr	LCM/	לֶשֶׁם	subs	<gem>	2
hru	JGBHH/	יָגְבֳּהָה	nmpr	Jogbehah	2
hvy	LMW>L/	לְמוּאֵל	nmpr	Lemuel	2
hsb	JHWCB<T/	יְהֹושַׁבְעַת	nmpr	Jehosheba	2
hms	CXP/	שַׁחַף	subs	<animal>	2
ihp	QWR[	קוּר	verb	dig	2
ihl	QWH=[	קָוָה	verb	collect	2
hqg	GTJM/	גִּתַּיִם	nmpr	Gittaim	2
iod	XDQ/	חֵדֶק	subs	nightshade	2
imz	VB/	טָב	adjv	good	2
hcq	>B<B<T/	אֲבַעְבֻּעֹת	subs	blisters	2
ige	QBH/	קֵבָה	subs	rennet-bag	2
hpy	GLL=/	גָּלָל	subs	dung	2
hhz	BHWN/	בְּהֹון	subs	thumb	2
ija	RXB======/	רַחַב	subs	expanse	2
hca	<WJT/	עֲוִית	nmpr	Avith	2
ikt	T<RWBWT/	תַּעֲרוּבֹות	subs	hostages	2
hwt	M>S=[		verb	dissolve	2
iip	RQX==/	רַקָּח	subs	ointment mixer	2
hov	G>/	גֵּא	adjv	haughty	2
hyc	MFRPWT_MJM/	מִשְׂרְפֹות מַיִם	nmpr	Misrephoth Maim	2
hjh	BTW>L=/	בְּתוּאֵל	nmpr	Bethuel	2
hur	KRWB=/	כְּרוּב	nmpr	Kerub	2
ijl	SBK=/	סְבֹךְ	subs	thicket	2
hqn	GXLT/	גַּחֶלֶת	subs	glow	2
ijv	SLD/	סֶלֶד	nmpr	Seled	2
hat	<MWQ/	עָמֹוק	nmpr	Amok	2
hcu	>BJHJL/	אֲבִיהַיִל	nmpr	Abihail	2
icr	NDH[	נָדָה	verb	exclude	2
idi	NKT/	נְכֹת	subs	treasure	2
hgg	>RT/	אֹרֹת	subs	mallow <flower>	2
ihc	QRBN=/	קֻרְבָּן	subs	supply	2
ioe	XDQL/	חִדֶּקֶל	nmpr	Tigris	2
hut	KSLH/	כִּסְלָה	subs	confidence	2
hmq	CXH[	שָׁחָה	verb	bow down	2
hll	CMRJN/	שָׁמְרָיִן	nmpr	Samaria	2
hyw	MKSH==/	מִכְסָה	subs	amount	2
ipi	XQWP>/	חֲקוּפָא	nmpr	Hakupha	2
inu	XBQWQ/	חֲבַקּוּק	nmpr	Habakkuk	2
ikl	SWK=[	סוּךְ	verb	incite	2
iig	RJBJ/	רִיבַי	nmpr	Ribai	2
ipx	XRXR=/	חַרְחֻר	nmpr	Harhur	2
ilg	TDHR/	תִּדְהָר	subs	box tree	2
ihw	R<Y[		verb	break	2
hwk	M<H/	מָעָה	subs	grain	2
iaq	MSR[		verb	assign	2
irz	YMTT/	צְמִתֻת	subs	forfeiture	2
igm	QHLH/	קְהִלָּה	subs	assembly	2
iol	XJRH/	חִירָה	nmpr	Hirah	2
ifb	PLVJ>L/	פַּלְטִיאֵל	nmpr	Paltiel	2
heu	>LTWLD/	אֶלְתֹּולַד	nmpr	Eltolad	2
han	<LWH/	עַלְוָה	subs	disobedience	2
ieo	PJNN/	פִּינֹן	nmpr	Pinon	2
hbq	<RMWN/	עֶרְמֹון	subs	plane-tree	2
hqc	GNTWN/	גִּנְּתֹון	nmpr	Ginnethon	2
haf	<JPH/	עֵיפָה	subs	darkness	2
hrc	HW	הֹו	intj	ah	2
ipn	XRJP/	חָרִיף	nmpr	Hariph	2
hwa	LQV/	לֶקֶט	subs	gleaning	2
hed	>J=	אִי	inrg	how	2
hsd	JHY/	יַהַץ	nmpr	Jahaz	2
hcd	<WQ[	עוּק	verb	totter	2
isl	YWP/	צוּף	subs	honey-comb	2
hsl	JQD/	יְקֹד	subs	burning	2
hdw	>DW/	אִדֹּו	nmpr	Iddo	2
iln	TKNJT/	תָּכְנִית	subs	example	2
idx	NW<DJH/	נֹועַדְיָה	nmpr	Noadiah	2
ifi	PRH==/	פֻּרָה	nmpr	Purah	2
hah	<JRD/	עִירָד	nmpr	Irad	2
hkk	CCR/	שָׁשַׁר	subs	minium	2
ihj	QWB</	קֹובַע	subs	helmet	2
gzr	<DR==[		verb	flock together	2
idh	NKS/	נְכַס	subs	possession	2
ifd	PNW>L=/	פְּנוּאֵל	nmpr	Penuel	2
heo	>LJXB>/	אֶלְיַחְבָּא	nmpr	Eliahba	2
ifc	PLVJHW/	פְּלַטְיָהוּ	nmpr	Pelatiah	2
hue	KLX/	כֶּלַח	subs	vigour	2
hzs	MQCH=/	מִקְשָׁה	subs	cucumber field	2
irf	YB<JM/	צְבֹעִים	nmpr	Zeboim	2
hvm	LBB=[	לָבַב	verb	bake	2
hjl	BWZJ/	בּוּזִי	adjv	Buzite	2
hhp	B>RJ/	בְּאֵרִי	nmpr	Beeri	2
gzh	<BDH=/	עֲבֻדָּה	subs	slaves	2
hax	<NH/	עֹנָה	subs	intercourse	2
hvp	LBNJ/	לִבְנִי	adjv	Libnite	2
iqg	XTLN/	חֶתְלֹן	nmpr	Hethlon	2
isr	ZBDJ>L/	זַבְדִּיאֵל	nmpr	Zabdiel	2
htk	JWN/	יָוֵן	subs	sediment	2
him	BLCN/	בִּלְשָׁן	nmpr	Bilshan	2
iif	RJBH/	רִיבָה	subs	case	2
iqn	XWCJM/	חוּשִׁים	nmpr	Hushim	2
hld	CLVWN/	שִׁלְטֹון	subs	mastery	2
htn	JWX>/	יֹוחָא	nmpr	Joha	2
ilc	TBH=/	תֵּבָה	subs	chest	2
hys	MKMR/	מִכְמָר	subs	net	2
hpr	GJNT/	גִּינַת	nmpr	Ginath	2
hxo	MCXH==/	מִשְׁחָה	subs	portion	2
hsp	JQM<M=/	יְקַמְעָם	nmpr	Jekameam	2
