passage	phrase_text	phrase_gloss	head	attributive	#words_mother	#nouns_mother
Genesis 30:43	Y>N RBWT W#PXWT W<BDJM WGMLJM WXMRJM00 	cattle much and maidservant and servant and camel and he-ass	Y>N 	RBWT 	1	1
Genesis 31:10	<QDJM NQDJM WBRDJM00 	twisted speckled and speckled	<QDJM 	NQDJM WBRDJM00 	1	0
Genesis 31:12	<QDJM NQDJM WBRDJM 	twisted speckled and speckled	<QDJM 	NQDJM WBRDJM 	1	0
Genesis 31:22	BJWM H#LJ#J 	in the day the third	JWM 	H#LJ#J 	2	1
Genesis 32:9	HMXNH HN#>R 	the camp the remain	HMXNH 	HN#>R 	2	1
Genesis 32:16	GMLJM MJNJQWT WBNJHM #L#JM PRWT >RB<JM WPRJM <#RH >TNT <#RJM W<JRM <#RH00 	camel suck and son three cow four and young bull ten she-ass twenty and steed ten	GMLJM 	MJNJQWT 	1	1
Genesis 34:15	KL&ZKR00 	whole male	KL&	ZKR00 	1	1
Genesis 34:22	KL&ZKR 	whole male	KL&	ZKR 	1	1
Genesis 34:25	BJWM H#LJ#J 	in the day the third	JWM 	H#LJ#J 	2	1
Genesis 34:25	KL&ZKR00 	whole male	KL&	ZKR00 	1	1
Genesis 37:2	>T&DBTM R<H 	<object marker> evil report evil	DBTM 	R<H 	1	1
Genesis 37:9	XLWM >XR 	dream other	XLWM 	>XR 	1	1
Genesis 37:20	XJH R<H 	wild animal evil	XJH 	R<H 	1	1
Genesis 37:28	>N#JM MDJNJM 	man Midianite	>N#JM 	MDJNJM 	1	1
Genesis 37:33	XJH R<H 	wild animal evil	XJH 	R<H 	1	1
Genesis 37:34	JMJM RBJM00 	day much	JMJM 	RBJM00 	1	1
Genesis 38:1	<D&>J# <DLMJ 	unto man Adullamite	>J# 	<DLMJ 	1	1
Genesis 38:2	BT&>J# KN<NJ 	daughter man Canaanite	>J# 	KN<NJ 	1	1
