passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Genesis 6:12	606787	אֱלֹהִ֛ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	2809
Genesis 6:13	606799	אֱלֹהִ֜ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֜ים 	2827
Genesis 6:22	606908	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	3034
Genesis 7:9	606985	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	3210
Genesis 7:16	607032	אֱלֹהִ֑ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֑ים 	3366
Genesis 8:1	607119	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	3545
Genesis 8:1	607126	אֱלֹהִ֥ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֥ים 	3565
Genesis 8:15	607276	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	3853
Genesis 9:1	607353	אֱלֹהִ֔ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	4037
Genesis 9:6	607403	בְּצֶ֣לֶם אֱלֹהִ֔ים 	in image god(s)	Adju	>LHJM/	אֱלֹהִ֔ים 	4146
Genesis 9:8	607418	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	4165
Genesis 9:12	607455	אֱלֹהִ֗ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֗ים 	4242
Genesis 9:16	607502	בְּרִ֣ית עֹולָ֔ם בֵּ֣ין אֱלֹהִ֔ים וּבֵין֙ כָּל־נֶ֣פֶשׁ חַיָּ֔ה 	covenant eternity interval god(s) and interval whole soul alive	Objc	>LHJM/	אֱלֹהִ֔ים 	4336
Genesis 9:17	607508	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	4351
Genesis 9:26	607597	יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם 	YHWH god(s) Shem	Subj	>LHJM/	אֱלֹ֣הֵי 	4492
Genesis 9:27	607604	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	4500
Genesis 17:3	609234	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	7369
Genesis 17:7	609274	לֵֽאלֹהִ֔ים 	to god(s)	PreC	>LHJM/	אלֹהִ֔ים 	7432
Genesis 17:8	609283	לֵאלֹהִֽים׃ 	to god(s)	PreC	>LHJM/	אלֹהִֽים׃ 	7458
Genesis 17:9	609286	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	7461
Genesis 17:15	609339	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	7564
