passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Joshua 22:22	675576	>L >LHJM JHWH >L >LHJM JHWH 	god god(s) YHWH god god(s) YHWH	Frnt	>LHJM/	>LHJM 	125792
Joshua 22:22	675576	>L >LHJM JHWH >L >LHJM JHWH 	god god(s) YHWH god god(s) YHWH	Frnt	>LHJM/	>LHJM 	125795
Joshua 22:24	675622	LKM WLJHWH >LHJ J#R>L00 	to and to YHWH god(s) Israel	PreC	>LHJM/	>LHJ 	125869
Joshua 22:29	675704	MLBD MZBX JHWH >LHJNW 	from to linen, part, stave altar YHWH god(s)	Adju	>LHJM/	>LHJNW 	126019
Joshua 22:33	675752	>LHJM 	god(s)	Objc	>LHJM/	>LHJM 	126141
Joshua 22:34	675776	H>LHJM00 	the god(s)	PreC	>LHJM/	>LHJM00 	126183
Joshua 23:3	675807	JHWH >LHJKM 	YHWH god(s)	Subj	>LHJM/	>LHJKM 	126241
Joshua 23:3	675811	JHWH >LHJKM 	YHWH god(s)	Frnt	>LHJM/	>LHJKM 	126252
Joshua 23:5	675828	JHWH >LHJKM 	YHWH god(s)	Frnt	>LHJM/	>LHJKM 	126290
Joshua 23:5	675841	JHWH >LHJKM 	YHWH god(s)	Subj	>LHJM/	>LHJKM 	126309
Joshua 23:7	675859	B#M >LHJHM 	in name god(s)	Cmpl	>LHJM/	>LHJHM 	126350
Joshua 23:8	675873	BJHWH >LHJKM 	in YHWH god(s)	Cmpl	>LHJM/	>LHJKM 	126367
Joshua 23:10	675894	JHWH >LHJKM 	YHWH god(s)	Frnt	>LHJM/	>LHJKM 	126405
Joshua 23:11	675907	>T&JHWH >LHJKM00 	<object marker> YHWH god(s)	Objc	>LHJM/	>LHJKM00 	126423
Joshua 23:13	675929	JHWH >LHJKM 	YHWH god(s)	Subj	>LHJM/	>LHJKM 	126456
Joshua 23:13	675942	JHWH >LHJKM00 	YHWH god(s)	Subj	>LHJM/	>LHJKM00 	126499
Joshua 23:14	675958	JHWH >LHJKM 	YHWH god(s)	Subj	>LHJM/	>LHJKM 	126534
Joshua 23:15	675975	JHWH >LHJKM 	YHWH god(s)	Subj	>LHJM/	>LHJKM 	126559
Joshua 23:15	675988	JHWH >LHJKM00 	YHWH god(s)	Subj	>LHJM/	>LHJKM00 	126586
Joshua 23:16	675990	>T&BRJT JHWH >LHJKM 	<object marker> covenant YHWH god(s)	Objc	>LHJM/	>LHJKM 	126592
Joshua 23:16	675998	>LHJM >XRJM 	god(s) other	Objc	>LHJM/	>LHJM 	126600
Joshua 24:1	676023	LPNJ H>LHJM00 	to face the god(s)	Cmpl	>LHJM/	>LHJM00 	126649
Joshua 24:2	676030	JHWH >LHJ J#R>L 	YHWH god(s) Israel	Subj	>LHJM/	>LHJ 	126660
Joshua 24:2	676037	>LHJM >XRJM00 	god(s) other	Objc	>LHJM/	>LHJM 	126678
Joshua 24:14	676219	>T&>LHJM 	<object marker> god(s)	Objc	>LHJM/	>LHJM 	126976
Joshua 24:15	676239	>T&>LHJM 	<object marker> god(s)	Objc	>LHJM/	>LHJM 	127009
Joshua 24:15	676247	>T&>LHJ H>MRJ 	<object marker> god(s) the Amorite	Objc	>LHJM/	>LHJ 	127021
Joshua 24:16	676266	>LHJM >XRJM00 	god(s) other	Objc	>LHJM/	>LHJM 	127050
Joshua 24:17	676268	JHWH >LHJNW 	YHWH god(s)	Frnt	>LHJM/	>LHJNW 	127054
Joshua 24:18	676300	>LHJNW00 	god(s)	PreC	>LHJM/	>LHJNW00 	127121
Joshua 24:19	676310	>LHJM QD#JM 	god(s) holy	PreC	>LHJM/	>LHJM 	127135
Joshua 24:20	676322	>LHJ NKR 	god(s) foreigner	Objc	>LHJM/	>LHJ 	127154
Joshua 24:23	676362	>T&>LHJ HNKR 	<object marker> god(s) the foreigner	Objc	>LHJM/	>LHJ 	127204
Joshua 24:23	676368	>L&JHWH >LHJ J#R>L00 	to YHWH god(s) Israel	Cmpl	>LHJM/	>LHJ 	127216
Joshua 24:24	676373	>T&JHWH >LHJNW 	<object marker> YHWH god(s)	Objc	>LHJM/	>LHJNW 	127226
Joshua 24:26	676393	BSPR TWRT >LHJM 	in letter instruction god(s)	Cmpl	>LHJM/	>LHJM 	127263
Joshua 24:27	676424	B>LHJKM00 	in god(s)	Cmpl	>LHJM/	>LHJKM00 	127312
Judges 1:7	676577	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	127579
Judges 2:3	676955	>LHJHM 	god(s)	Subj	>LHJM/	>LHJHM 	128264
Judges 2:12	677041	>T&JHWH >LHJ >BWTM 	<object marker> YHWH god(s) father	Objc	>LHJM/	>LHJ 	128430
Judges 2:12	677048	>XRJ >LHJM >XRJM M>LHJ H<MJM 	after god(s) other from god(s) the people	Cmpl	>LHJM/	>LHJM 	128441
Judges 2:12	677048	>XRJ >LHJM >XRJM M>LHJ H<MJM 	after god(s) other from god(s) the people	Cmpl	>LHJM/	>LHJ 	128444
Judges 2:17	677114	>XRJ >LHJM >XRJM 	after god(s) other	Cmpl	>LHJM/	>LHJM 	128541
Judges 2:19	677155	>XRJ >LHJM >XRJM 	after god(s) other	Cmpl	>LHJM/	>LHJM 	128606
Judges 3:6	677272	>T&>LHJHM00 	<object marker> god(s)	Objc	>LHJM/	>LHJHM00 	128823
Judges 3:7	677280	>T&JHWH >LHJHM 	<object marker> YHWH god(s)	Objc	>LHJM/	>LHJHM 	128838
Judges 3:20	677453	DBR&>LHJM 	word god(s)	Subj	>LHJM/	>LHJM 	129126
Judges 4:6	677676	JHWH >LHJ&J#R>L 	YHWH god(s) Israel	Subj	>LHJM/	>LHJ&	129488
Judges 4:23	677947	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	129913
