clnode,chapter,verse,subj_n,subj,obj_n,obj,obj_n2,obj2,cmpl_n,cmpl,cmpl_n2,cmpl2
489369,8,2,_,_,789509,HWDK,_,_,789510,<L_H_CMJM,_,_
489370,8,3,_,_,789513,<Z,_,_,789511,M_PJ_<WLLJM_W_JNQJM,_,_
489371,8,3,_,_,789516,>WJB_W_MTNQM,_,_,_,_,_,_
489372,8,4,_,_,789519,CMJK_M<FJ_>YB<TJK,_,_,_,_,_,_
489373,8,4,_,_,789520,JRX_W_KWKBJM,_,_,_,_,_,_
489375,8,5,789524,>NWC,_,_,_,_,_,_,_,_
489377,8,5,789528,BN_>DM,_,_,_,_,_,_,_,_
489379,8,6,_,_,_,_,_,_,789534,M_>LHJM,_,_
489380,8,6,_,_,789536,KBWD_W_HDR,_,_,_,_,_,_
489381,8,7,_,_,_,_,_,_,789539,B_M<FJ_JDJK,_,_
489382,8,7,_,_,789540,KL,_,_,789542,TXT_RGLJW,_,_
489383,8,8,_,_,789543,YNH_W_>LPJM_KLM,_,_,_,_,_,_
489384,8,8,_,_,789545,GM_BHMWT_FDJ,_,_,_,_,_,_
489385,8,9,_,_,789546,YPWR_CMJM,_,_,_,_,_,_
489386,8,9,_,_,789548,DGJ_H_JM,_,_,_,_,_,_
489387,8,9,_,_,789550,>RXWT_JMJM,_,_,_,_,_,_
489389,8,10,789554,CMK,_,_,_,_,_,_,_,_
489393,9,2,_,_,789560,JHWH,_,_,_,_,_,_
489394,9,2,_,_,789563,KL_NPL>WTJK,_,_,_,_,_,_
489396,9,3,_,_,_,_,_,_,789567,BK,_,_
489397,9,3,_,_,789569,CMK,_,_,_,_,_,_
489399,9,4,789572,>WJBJ,_,_,_,_,789573,>XWR,_,_
489401,9,4,_,_,_,_,_,_,789577,M_PNJK,_,_
489402,9,5,_,_,789580,MCPVJ_W_DJNJ,_,_,_,_,_,_
489403,9,5,_,_,_,_,_,_,789582,L_KS>,_,_
489404,9,6,_,_,789585,GWJM,_,_,_,_,_,_
489405,9,6,_,_,789587,RC<,_,_,_,_,_,_
489406,9,6,_,_,789588,CMM,_,_,_,_,_,_
489408,9,7,789593,XRBWT,_,_,_,_,_,_,_,_
489409,9,7,_,_,789596,<RJM,_,_,_,_,_,_
489410,9,7,789599,ZKRM_HMH,_,_,_,_,_,_,_,_
489411,9,8,789601,JHWH,_,_,_,_,_,_,_,_
489412,9,8,_,_,789606,KS>W,_,_,789605,L__MCPV,_,_
489413,9,9,789608,HW>,789610,TBL,_,_,_,_,_,_
489414,9,9,_,_,789613,L>MJM,_,_,_,_,_,_
489415,9,10,789617,JHWH,_,_,_,_,_,_,_,_
489416,9,10,_,_,_,_,_,_,789620,L_<TWT_B__YRH,_,_
489417,9,11,789624,JWD<J_CMK,_,_,_,_,789623,BK,_,_
489418,9,11,_,_,789628,DRCJK,_,_,_,_,_,_
489420,9,12,_,_,_,_,_,_,789631,L_JHWH,_,_
489421,9,12,_,_,789633,YJWN,_,_,_,_,_,_
489422,9,12,_,_,789636,<LJLWTJW,_,_,789635,B__<MJM,_,_
489423,9,13,_,_,789639,DMJM,_,_,_,_,_,_
489424,9,13,_,_,789640,>WTM,_,_,_,_,_,_
489425,9,13,_,_,789644,Y<QT_<NJJM,_,_,_,_,_,_
489428,9,14,_,_,789648,<NJJ,_,_,_,_,_,_
489429,9,14,_,_,_,_,_,_,789651,M_C<RJ_MWT,_,_
489430,9,15,_,_,789654,KL_THLTJK,_,_,_,_,_,_
489431,9,15,_,_,_,_,_,_,789657,B_JCW<TK,_,_
489432,9,16,789659,GWJM,_,_,_,_,789660,B_CXT,_,_
489434,9,16,789666,RGLM,_,_,_,_,789662,B_RCT,_,_
489436,9,17,789668,JHWH,_,_,_,_,_,_,_,_
489437,9,17,_,_,789669,MCPV,_,_,_,_,_,_
489438,9,17,789673,RC<,_,_,_,_,789671,B_P<L_KPJW,_,_
489441,9,18,789677,RC<JM,_,_,_,_,789678,L_C>WLH,_,_
489442,9,18,789679,KL_GWJM,_,_,_,_,_,_,_,_
